;gender;date;hitCreationDate;householdIncome;householdSize;locationCity;locationCountry;locationRegion;maritalStatus;postToCompletionSecs;workerId;yearOfBirth
920;male;2020-10-21 22:49:07.556;2020-10-21 22:48:00.000;$25,000-$39,999;3;houston;US;tx;single;67;e63f403b79a49bab139a63c7521cf716;1985
921;female;2020-10-21 22:35:12.131;2020-10-21 22:33:01.000;$40,000-$59,999;3;paducah;US;ky;single;131;16a2315888f5cd76327949c5c8d64a1e;2000
922;male;2020-10-21 22:19:48.552;2020-10-21 22:18:02.000;$60,000-$74,999;4;sao paulo;BR;sp;single;106;3b98dd8346ede5d8563bf9aa0ccdf62d;1992
923;male;2020-10-21 22:16:14.773;2020-10-21 21:48:09.000;Less than $10,000;2;chennai;IN;tn;married;1685;7ac493eb4fdf4e727bdad83602056b1f;1991
924;male;2020-10-21 21:58:00.306;2020-10-21 21:33:01.000;$40,000-$59,999;3;portland;US;me;married;1499;93db95085e5177e97b854f8ea81d3328;1992
925;male;2020-10-21 21:40:09.441;2020-10-21 21:18:00.000;$60,000-$74,999;2;linden;US;nj;married;1329;26dd9a62928e543563f16bac398238b4;1983
926;male;2020-10-21 21:12:37.296;2020-10-21 20:48:01.000;$25,000-$39,999;1;?;US;ca;single;1476;ff56966ffc0cb119341aab326fd33290;1992
927;male;2020-10-21 21:07:29.336;2020-10-21 21:03:00.000;$60,000-$74,999;4;knightdale;US;nc;married;269;18bfe2227952be95d13d199d16710217;1983
928;male;2020-10-21 21:02:55.041;2020-10-21 20:33:00.000;$25,000-$39,999;3;amadora;PT;11;cohabitating;1795;cda29f85a0bca7b1af8829ff49a4933b;1980
929;male;2020-10-21 20:50:41.028;2020-10-21 19:33:01.000;Less than $10,000;3;kochi;IN;kl;single;4660;3d9227fef564af098efed00edef5089d;1990
930;male;2020-10-21 20:20:51.788;2020-10-21 20:18:01.000;Less than $10,000;2;fano;IT;57;single;170;22b02492b00ebb182a313bfae00c373d;1996
931;female;2020-10-21 20:17:25.460;2020-10-21 20:03:01.000;Less than $10,000;4;kochi;IN;kl;single;864;61ef14bf9b5eb7f3874ee0081447fe6c;1997
932;male;2020-10-21 19:52:54.752;2020-10-21 19:48:00.000;$100,000 or more;2;grande prairie;CA;ab;married;294;f62cab01ff984cc7bcb6ad20b7c661f0;1994
933;female;2020-10-21 19:50:08.908;2020-10-21 19:03:00.000;$40,000-$59,999;3;hackettstown;US;nj;cohabitating;2828;2f35d2db34462f2bc1c3394f719ccc60;1986
934;male;2020-10-21 19:37:42.706;2020-10-21 18:33:01.000;Less than $10,000;1;wichita;US;ks;single;3881;d070c0a0436858c006cf0cfeb0e86425;1955
935;female;2020-10-21 19:29:37.408;2020-10-21 17:03:01.000;$25,000-$39,999;1;new smyrna beach;US;fl;single;8796;0b30207223c9f27e6cf25b5bfbb76aab;1955
936;male;2020-10-21 19:25:39.338;2020-10-21 19:18:01.000;$75,000-$99,999;4;los angeles;US;ca;married;458;d115d8af0f29cf0950aeedc393923b76;1984
937;male;2020-10-21 19:00:21.810;2020-10-21 18:18:01.000;Less than $10,000;2;hazard;US;ky;married;2540;9ab2af22e25b20187294646f3cd1e697;1986
938;male;2020-10-21 18:56:06.602;2020-10-21 18:48:01.000;$75,000-$99,999;2;gifford;US;fl;married;485;6362fd696d6532247f2a7b1d46c2f037;1956
